,city,job_title,company_name,location,summary,salary
130,New+York,Director Data Science,CBS Corporate,"New York, NY 10176 (Murray Hill area)",CBS Corporation is seeking a Data Scientist to join its Enterprise Data Management team. # Director Data Science **REF#:....,nothing_found
131,New+York,Manager Research Analyst,Voya Financial,"New York, NY","Thoughtful process of analyzing data and problem solving data to reach a well-reasoned solution. As part of the application process, a candidate account is...",nothing_found
132,New+York,Research Analyst/Resource Manager,MDRC,"New York, NY 10016 (Gramercy area)","Serve as a member of project teams involved in one or more aspects of site development, data collection, or analyses....",nothing_found
133,New+York,Emerging Markets Corporate Analyst – Fixed Income Research,Nuveen,"New York, NY",Job Description About the Company Nuveen is the investment management arm of TIAA. It is one of the largest global asset managers with specialist knowledge...,nothing_found
134,New+York,Senior Data Engineer,Adaptive Management,"New York, NY","Develop target data models including data policies for sensitive data assets, security policies, back-up, and recovery specifications....",nothing_found
135,New+York,Content Intelligence: Backend Engineer,Oath Inc,"New York, NY",Them with your data models. Tumblr’s Content Intelligence team is looking for a well-versed engineer and data scientist who’s ready to take over entire features...,nothing_found
136,New+York,CIB : Data Commercialization Manager – VP/ED - New York,JP Morgan Chase,"New York, NY 10179 (Midtown area)","Quantitative Research , Data Scientists and others to understand requirements for using data in their new models, applications, services and systems to assure...",nothing_found
137,New+York,Solutions Analyst,Conviva,"New York, NY 10016 (Gramercy area)","Analyses & interprets customer data, prepares monthly customer-facing reports and supports bespoke expert services consulting engagements alongside Architects...",nothing_found
138,New+York,"Chief Technology Officer - McKinsey Academy, New Ventures",McKinsey & Company,"New York, NY 10022 (Midtown area)","As one of the fastest-growing parts of our firm, New Ventures has more than 1,500 dedicated professionals (including more than 800 analysts and data scientists)...",nothing_found
139,New+York,"Director, Business Intelligence",Environmental Defense Fund,"New York, NY 10010 (Gramercy area)","Expertise in the fields of data quality, data profiling, data security and master data concepts. Maintain Data dictionaries for source systems, data warehouse...",nothing_found
140,New+York,Staff Associate,Columbia University,"New York, NY",They may also be responsible for collecting data and providing services to its clients. Students performing work in laboratory in concert with faculty and...,nothing_found
141,New+York,CIB : Data Commercialization Manager – VP/ED - New York,JP Morgan Chase,"New York, NY 10179 (Midtown area)","Quantitative Research , Data Scientists and others to understand requirements for using data in their new models, applications, services and systems to assure...",nothing_found
142,New+York,Staff Associate,Columbia University,"New York, NY",They may also be responsible for collecting data and providing services to its clients. Students performing work in laboratory in concert with faculty and...,nothing_found
143,New+York,"Research Position (Various Levels), Neuroscience",Simons Foundation,"New York, NY 10010 (Gramercy area)","Depending on levels of experience, positions may be at-will Research Scientists; Or, term-appointment Flatiron Research Fellows or Associate Research Scientists...",nothing_found
144,New+York,"Research Position (Various Levels), Numerical Algorithms",Simons Foundation,"New York, NY 10010 (Gramercy area)",Will also serve as a team manager and project coordinator as the scale of data collection increases). Research Scientists may also lead and coordinate several...,nothing_found
145,New+York,Lead Analytics Front End Engineer,The Boston Consulting Group,"New York, NY 10022 (Midtown area)","Work efficiently in tandum with Data Scientists, Designers, and Software Engineers. Data scientists depend on easy to use interfaces to easily code, increase...",nothing_found
146,New+York,Market Research Analyst (Corporate and Political),Benenson Strategy Group,"New York, NY","They are creative, intellectually curious, and have an interest in translating data into actionable insights....",nothing_found
147,New+York,Research Analyst,1199SEIU Family of Funds,"New York, NY","Knowledge of qualitative data analysis software (Atlas-ti) preferred. Knowledge of publicly available workforce, hospital, and nursing home-related data sources...",nothing_found
148,New+York,Clinical Data Standards Manager,Medidata Solutions,"New York, NY 10003 (Greenwich Village area)",Clinical trials data collection and data QC processes. Clinical data manager or data standards manager. Understand and convert analytical data requirements to...,nothing_found
149,New+York,Research Associate,Brookhaven National Laboratory,"Upton, NY 11973","Experience with data analysis. The Laboratory's almost 3,000 scientists, engineers, and support staff are joined each year by more than 4,000 visiting...",nothing_found
150,New+York,Sr. Data Scientist - Nielsen Marketing Cloud,Nielsen,"New York, NY 10003 (Greenwich Village area)",Data Scientist - Nielsen Marketing Cloud - 12422. Develop and maintain ongoing data exploratory analyses against internal and client-provided data....,nothing_found
